SampleName,Type
CRC1731PMX0A02002TUMR01000,PMX
CRC1342LMX0B02001TUMR01000,LMX
CRC0557LMX0A02001TUMR01000,LMX
CRC0082LMX0A02202TUMR02000,LMX
CRC1090LMX0A02001TUMR01000,LMX
CRC1257LMX0A02001TUMR06000,LMX
CRC1430LMX0A02004TUMR01000,LMX
CRC0517LMX0A02002TUMR01000,LMX
CRC1157LMX0A02002TUMR01000,LMX
CRC1500LMX0A02001TUMR01000,LMX
CRC0061LMX0A02202TUMR03000,LMX
CRC0581LMX0A02004TUMR01000,LMX
CRC1418PRX0A01001TUMR01000,PRX
CRC0305LMX0B02203TUMR03000,LMX
CRC0379LMX0A02201TUMR05000,LMX
CRC0345LMX0A02202TUMR02000,LMX
CRC0242LMX0B02204TUMR02000,LMX
CRC0559LMX0B02004TUMR06000,LMX
CRC0328LMX0A02002TUMR03000,LMX
CRC1757LMX0A02002TUMR01000,LMX
CRC1279PRX0A02002TUMR01000,PRX
CRC0155LMX0B02204TUMR02000,LMX
CRC0129LMX0A02201TUMR05000,LMX
CRC0348LMX0A02002TUMR02000,LMX
CRC0162LMX0B02204TUMR02000,LMX
CRC0528LMX0B02004TUMR01000,LMX
CRC0396LMX0A03010TUMR01000,LMX
CRC0514PRX0A01001TUMR05000,PRX
CRC0456LMX0B03003TUMR01000,LMX
CRC0166LMX0A05015TUMR02000,LMX
CRC0070LMX0B02204TUMR14000,LMX
CRC0264LMX0A05007TUMR03000,LMX
CRC0021LMX0B02201TUMR02000,LMX
CRC0169LMX0A02202TUMR02000,LMX
CRC0391LMX0A02002TUMR03000,LMX
CRC1201PRX0A02002TUMR01000,PRX
CRC1473LMX0B03012TUMR01000,LMX
CRC0166LMX0A05009TUMR01000,LMX
CRC0094LMX0A02202TUMR01000,LMX
CRC0580LMX0B02002TUMR01000,LMX
CRC0513LMX0A02002TUMR01000,LMX
CRC0081LMX0B02204TUMR02000,LMX
CRC1313LMX0B03005TUMR05000,LMX
CRC0125LMX0A02201TUMR03000,LMX
CRC0692LMX0A02004TUMR01000,LMX
CRC0556LMX0B02004TUMR02000,LMX
CRC0071PRX0A01201TUMR01000,PRX
CRC1067LMX0A03011TUMR02000,LMX
